item_id,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,subject_context_condition,item,condition_id
1_word1_neutral_nocontext,word1,kicked,neutral,he,nocontext,,1,ball,he,he kicked the,kicked,the,ball,Did,kick,he kicked the ball,Did he kick the ball?,neutral_nocontext,1,word1_neutral_nocontext
1_word1_neutral_context1,word1,kicked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he kicked the",kicked,the,ball,Did,kick,"on the playground, he kicked the ball",Did he kick the ball?,neutral_context1,1,word1_neutral_context1
1_word1_neutral_context2,word1,kicked,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he kicked the",kicked,the,ball,Did,kick,"in the candy shop, he kicked the ball",Did he kick the ball?,neutral_context2,1,word1_neutral_context2
1_word1_subject1_nocontext,word1,kicked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player kicked the,kicked,the,ball,Did,kick,the soccer player kicked the ball,Did the soccer player kick the ball?,subject1_nocontext,1,word1_subject1_nocontext
1_word1_subject2_nocontext,word1,kicked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth kicked the,kicked,the,ball,Did,kick,the child with a sweet tooth kicked the ball,Did the child with a sweet tooth kick the ball?,subject2_nocontext,1,word1_subject2_nocontext
1_word2_neutral_nocontext,word2,licked,neutral,he,nocontext,,1,ball,he,he licked the,licked,the,ball,Did,kick,he licked the ball,Did he kick the ball?,neutral_nocontext,1,word2_neutral_nocontext
1_word2_neutral_context1,word2,licked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he licked the",licked,the,ball,Did,kick,"on the playground, he licked the ball",Did he kick the ball?,neutral_context1,1,word2_neutral_context1
1_word2_neutral_context2,word2,licked,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he licked the",licked,the,ball,Did,kick,"in the candy shop, he licked the ball",Did he kick the ball?,neutral_context2,1,word2_neutral_context2
1_word2_subject1_nocontext,word2,licked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player licked the,licked,the,ball,Did,kick,the soccer player licked the ball,Did the soccer player kick the ball?,subject1_nocontext,1,word2_subject1_nocontext
1_word2_subject2_nocontext,word2,licked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth licked the,licked,the,ball,Did,kick,the child with a sweet tooth licked the ball,Did the child with a sweet tooth kick the ball?,subject2_nocontext,1,word2_subject2_nocontext
1_word2_control_neutral_nocontext,word2_control,tasted,neutral,he,nocontext,,1,ball,he,he tasted the,tasted,the,ball,Did,kick,he tasted the ball,Did he kick the ball?,neutral_nocontext,1,word2_control_neutral_nocontext
1_word2_control_neutral_context1,word2_control,tasted,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he tasted the",tasted,the,ball,Did,kick,"on the playground, he tasted the ball",Did he kick the ball?,neutral_context1,1,word2_control_neutral_context1
1_word2_control_neutral_context2,word2_control,tasted,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he tasted the",tasted,the,ball,Did,kick,"in the candy shop, he tasted the ball",Did he kick the ball?,neutral_context2,1,word2_control_neutral_context2
1_word2_control_subject1_nocontext,word2_control,tasted,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player tasted the,tasted,the,ball,Did,kick,the soccer player tasted the ball,Did the soccer player kick the ball?,subject1_nocontext,1,word2_control_subject1_nocontext
1_word2_control_subject2_nocontext,word2_control,tasted,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth tasted the,tasted,the,ball,Did,kick,the child with a sweet tooth tasted the ball,Did the child with a sweet tooth kick the ball?,subject2_nocontext,1,word2_control_subject2_nocontext
1_nonword_neutral_nocontext,nonword,aicked,neutral,he,nocontext,,1,ball,he,he aicked the,aicked,the,ball,Did,kick,he aicked the ball,Did he kick the ball?,neutral_nocontext,1,nonword_neutral_nocontext
1_nonword_neutral_context1,nonword,aicked,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he aicked the",aicked,the,ball,Did,kick,"on the playground, he aicked the ball",Did he kick the ball?,neutral_context1,1,nonword_neutral_context1
1_nonword_neutral_context2,nonword,aicked,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he aicked the",aicked,the,ball,Did,kick,"in the candy shop, he aicked the ball",Did he kick the ball?,neutral_context2,1,nonword_neutral_context2
1_nonword_subject1_nocontext,nonword,aicked,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player aicked the,aicked,the,ball,Did,kick,the soccer player aicked the ball,Did the soccer player kick the ball?,subject1_nocontext,1,nonword_subject1_nocontext
1_nonword_subject2_nocontext,nonword,aicked,subject2,the child with a sweet tooth,nocontext,,1,ball,the child with a sweet tooth,the child with a sweet tooth aicked the,aicked,the,ball,Did,kick,the child with a sweet tooth aicked the ball,Did the child with a sweet tooth kick the ball?,subject2_nocontext,1,nonword_subject2_nocontext
1_random_neutral_nocontext,random,artled,neutral,he,nocontext,,1,ball,he,he artled the,artled,the,ball,Did,kick,he artled the ball,Did he kick the ball?,neutral_nocontext,1,random_neutral_nocontext
1_random_neutral_context1,random,artled,neutral,he,context1,"on the playground, ",1,ball,"on the playground, he","on the playground, he artled the",artled,the,ball,Did,kick,"on the playground, he artled the ball",Did he kick the ball?,neutral_context1,1,random_neutral_context1
1_random_neutral_context2,random,artled,neutral,he,context2,"in the candy shop, ",1,ball,"in the candy shop, he","in the candy shop, he artled the",artled,the,ball,Did,kick,"in the candy shop, he artled the ball",Did he kick the ball?,neutral_context2,1,random_neutral_context2
1_random_subject1_nocontext,random,artled,subject1,the soccer player,nocontext,,1,ball,the soccer player,the soccer player artled the,artled,the,ball,Did,kick,the soccer player artled the ball,Did the soccer player kick the ball?,subject1_nocontext,1,random_subject1_nocontext
