item_id,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,answer1,answer2,correct_answer,question_delay,with_question,condition_id,Item,verb_condition,subject_context_condition,list_id
1_word2_control_neutral_nocontext,tasted,neutral,he,nocontext,,1,ball,he,he tasted the,tasted,the,ball,Did,kick,he tasted the ball,Did he kick the ball?,Yes,No,0,0,True,word2_control_neutral_nocontext,1,word2_control,neutral_nocontext,11
2_nonword_neutral_context1,is zaking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is zaking a",is zaking,a,photo,Is,taking,"in the film studio, he is zaking a photo",Is he taking a photo?,Yes,No,0,0,True,nonword_neutral_context1,2,nonword,neutral_context1,11
3_random_neutral_context2,lunriched,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he lunriched his",lunriched,his,letter,Did,send,"in the dance studio, he lunriched his letter",Did he send his letter?,Yes,No,0,0,True,random_neutral_context2,3,random,neutral_context2,11
4_word1_subject1_nocontext,sang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour sang the,sang,the,song,Did,sing,the troubadour sang the song,Did the troubadour sing the song?,Yes,No,0,0,True,word1_subject1_nocontext,4,word1,subject1_nocontext,11
5_word2_subject2_nocontext,is leading,subject2,the coach,nocontext,,1,book,the coach,the coach is leading the,is leading,the,book,Is,reading,the coach is leading the book,Is the coach reading the book?,Yes,No,0,0,True,word2_subject2_nocontext,5,word2,subject2_nocontext,11
6_word2_control_neutral_nocontext,creases,neutral,he,nocontext,,1,meeting,he,he creases a,creases,a,meeting,Does,hold,he creases a meeting,Does he hold a meeting?,Yes,No,0,0,True,word2_control_neutral_nocontext,6,word2_control,neutral_nocontext,11
7_nonword_neutral_context1,xaved,neutral,he,context1,"from the burning house, ",1,person,"from the burning house, he","from the burning house, he xaved a",xaved,a,person,Did,save,"from the burning house, he xaved a person",Did he save a person?,Yes,No,0,0,True,nonword_neutral_context1,7,nonword,neutral_context1,11
8_random_neutral_context2,is thbering,neutral,he,context2,"in the greenhouse, ",1,bag,"in the greenhouse, he","in the greenhouse, he is thbering the",is thbering,the,bag,Is,packing,"in the greenhouse, he is thbering the bag",Is he packing the bag?,Yes,No,0,0,True,random_neutral_context2,8,random,neutral_context2,11
9_word1_subject1_nocontext,filled,subject1,the driver,nocontext,,1,tank,the driver,the driver filled the,filled,the,tank,Is,filling,the driver filled the tank,Is the driver filling the tank?,Yes,No,0,0,True,word1_subject1_nocontext,9,word1,subject1_nocontext,11
10_word2_subject2_nocontext,hides,subject2,the spy,nocontext,,1,bike,the spy,the spy hides a,hides,a,bike,Does,ride,the spy hides a bike,Does the spy ride a bike?,Yes,No,0,0,True,word2_subject2_nocontext,10,word2,subject2_nocontext,11
11_word2_control_neutral_nocontext,surveys,neutral,he,nocontext,,1,door,he,he surveys the,surveys,the,door,Does,pull,he surveys the door,Does he pull the door?,Yes,No,0,0,True,word2_control_neutral_nocontext,11,word2_control,neutral_nocontext,11
12_nonword_neutral_context1,aried,neutral,he,context1,"in the laundry room, ",1,clothes,"in the laundry room, he","in the laundry room, he aried the",aried,the,clothes,Did,dry,"in the laundry room, he aried the clothes",Did he dry the clothes?,Yes,No,0,0,True,nonword_neutral_context1,12,nonword,neutral_context1,11
13_random_neutral_context2,ftsted,neutral,he,context2,"at the postal service desk, ",1,exam,"at the postal service desk, he","at the postal service desk, he ftsted the",ftsted,the,exam,Did,fail,"at the postal service desk, he ftsted the exam",Did he fail the exam?,Yes,No,0,0,True,random_neutral_context2,13,random,neutral_context2,11
14_word1_subject1_nocontext,filed,subject1,the legal team,nocontext,,1,lawsuit,the legal team,the legal team filed the,filed,the,lawsuit,Did,file,the legal team filed the lawsuit,Did the legal team file the lawsuit?,Yes,No,0,0,True,word1_subject1_nocontext,14,word1,subject1_nocontext,11
15_word2_subject2_nocontext,sows,subject2,the farmer,nocontext,,1,boat,the farmer,the farmer sows the,sows,the,boat,Does,row,the farmer sows the boat,Does the farmer row the boat?,Yes,No,0,0,True,word2_subject2_nocontext,15,word2,subject2_nocontext,11
16_word2_control_neutral_nocontext,offers,neutral,he,nocontext,,1,bottle,he,he offers the,offers,the,bottle,Does,seal,he offers the bottle,Does he seal the bottle?,Yes,No,0,0,True,word2_control_neutral_nocontext,16,word2_control,neutral_nocontext,11
17_nonword_neutral_context1,byttled,neutral,he,context1,"surrounded by gunfire, ",1,enemy,"surrounded by gunfire, he","surrounded by gunfire, he byttled the",byttled,the,enemy,Did,battle,"surrounded by gunfire, he byttled the enemy",Did he battle the enemy?,Yes,No,0,0,True,nonword_neutral_context1,17,nonword,neutral_context1,11
