Item,verb_condition,verb,subject_condition,subject,context_condition,context,predicate_condition,predicate,Preamble,prefix,CriticalWord,intervention_simple,continuation,aux,verb_1_o,sentence,question,group_id,answer1,answer2,question_delay,correct_answer,with_question,material_id
1,nonword,aicked,neutral,he,nocontext,,1,ball,he,he aicked the,aicked,the,ball,Did,kick,he aicked the ball,Did he kick the ball?,16,Yes,No,0,0,True,1
2,random,is ploking,neutral,he,context1,"in the film studio, ",1,photo,"in the film studio, he","in the film studio, he is ploking a",is ploking,a,photo,Is,taking,"in the film studio, he is ploking a photo",Is he taking a photo?,16,Yes,No,0,0,True,2
3,word1,sent,neutral,he,context2,"in the dance studio, ",1,letter,"in the dance studio, he","in the dance studio, he sent his",sent,his,letter,Did,send,"in the dance studio, he sent his letter",Did he send his letter?,16,Yes,No,0,0,True,3
4,word2,rang,subject1,the troubadour,nocontext,,1,song,the troubadour,the troubadour rang the,rang,the,song,Did,sing,the troubadour rang the song,Did the troubadour sing the song?,16,Yes,No,0,0,True,4
5,word2_control,is managing,subject2,the coach,nocontext,,1,book,the coach,the coach is managing the,is managing,the,book,Is,reading,the coach is managing the book,Is the coach reading the book?,16,Yes,No,0,0,True,5
6,nonword,dolds,neutral,he,nocontext,,1,meeting,he,he dolds a,dolds,a,meeting,Does,hold,he dolds a meeting,Does he hold a meeting?,16,Yes,No,0,0,True,6
7,random,sikarushes,neutral,he,context1,"from the burning house, ",1,person,"from the burning house, he","from the burning house, he sikarushes a",sikarushes,a,person,Did,save,"from the burning house, he sikarushes a person",Did he save a person?,16,Yes,No,0,0,True,7
8,word1,is packing,neutral,he,context2,"in the greenhouse, ",1,bag,"in the greenhouse, he","in the greenhouse, he is packing the",is packing,the,bag,Is,packing,"in the greenhouse, he is packing the bag",Is he packing the bag?,16,Yes,No,0,0,True,8
9,word2,killed,subject1,the driver,nocontext,,1,tank,the driver,the driver killed the,killed,the,tank,Is,filling,the driver killed the tank,Is the driver filling the tank?,16,Yes,No,0,0,True,9
10,word2_control,conceals,subject2,the spy,nocontext,,1,bike,the spy,the spy conceals a,conceals,a,bike,Does,ride,the spy conceals a bike,Does the spy ride a bike?,16,Yes,No,0,0,True,10
